ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,binary
73,0.015625,0.375,24.0,36300,56000,1948,0.099,0.49,0.026000000000000002,0.045,0.011000000000000001,0.003,0.024,0.006,0.001,0.049,0.09699999999999999,0.022000000000000002,0.002,0.001,0.016,1
74,0.015625,0.375,24.0,37000,53500,1948,0.064,0.38,0.021,0.055999999999999994,0.009000000000000001,0.002,0.013000000000000001,0.005,0.001,0.04,0.124,0.028999999999999998,0.002,0.001,0.015,1
75,0.015625,0.375,24.0,37400,56000,1948,0.099,0.49,0.026000000000000002,0.045,0.011000000000000001,0.003,0.024,0.006,0.001,0.049,0.09699999999999999,0.022000000000000002,0.002,0.001,0.016,1
76,0.015625,0.375,24.0,41700,52500,1948,0.064,0.38,0.021,0.055999999999999994,0.009000000000000001,0.002,0.013000000000000001,0.005,0.001,0.04,0.124,0.028999999999999998,0.002,0.001,0.015,1
77,0.015625,0.375,24.0,54000,79000,1952,0.265,1.01,0.019,0.04,0.013000000000000001,0.002,0.068,0.018000000000000002,0.0,0.079,0.18600000000000003,0.036000000000000004,0.001,0.001,0.006999999999999999,0
78,0.015625,0.375,24.0,60500,80500,1959,0.29,1.15,0.023,0.042,0.011000000000000001,0.026000000000000002,0.015,0.006999999999999999,0.003,0.005,0.009000000000000001,0.001,0.008,0.003,0.006,0
79,0.015625,0.375,24.0,62500,87000,1952,0.289,1.2,0.02,0.048,0.011000000000000001,0.002,0.04,0.02,0.0,0.079,0.217,0.049,0.001,0.001,0.006999999999999999,0
80,0.015625,0.375,24.0,63000,85000,1959,0.23,1.16,0.02,0.046,0.009000000000000001,0.012,0.017,0.006999999999999999,0.003,0.006999999999999999,0.01,0.001,0.006,0.002,0.006,0
81,0.015625,0.375,24.0,66000,93500,1952,0.272,1.15,0.019,0.054000000000000006,0.009000000000000001,0.003,0.04,0.018000000000000002,0.0,0.11900000000000001,0.188,0.037000000000000005,0.001,0.001,0.009000000000000001,0
82,0.015625,0.375,24.0,67000,84000,1959,0.31,1.15,0.018000000000000002,0.048,0.011000000000000001,0.015,0.017,0.006,0.003,0.006,0.009000000000000001,0.002,0.009000000000000001,0.003,0.006,0
83,0.015625,0.375,24.0,71500,94000,2011,0.055,1.62,0.005,0.18100000000000002,0.012,0.035,0.048,0.011000000000000001,0.068,0.016,0.045,0.011000000000000001,0.01,0.042,0.004,0
84,0.015625,0.375,24.0,75500,91000,2011,0.059000000000000004,1.67,0.003,0.203,0.009000000000000001,0.045,0.049,0.011000000000000001,0.065,0.015,0.046,0.009000000000000001,0.011000000000000001,0.044000000000000004,0.002,0
