ML_DefectID_s7,ML_AxDist_s7,ML_AxLength_s7,ML_AxWidth_s7,ML_MaxDepthPer_s7,ML_FailurePressure_s7,ML_AvgDepth_s7,ML_Orient_s7,ML_AvgDepthPer_s7,ML_MaxDepth_s7,ML_MinRemWall_s7,ML_FactorSafety_s7,ML_FailurePressType_s7,ML_DepthMeasured_s7,ML_CorrosionType_s7,ML_LocThruWall_s7,ML_FullCirc_s7,ML_RefGW_s7,ML_ScanID_s7,ML_AcWallThickness_s7,ML_ILI_DefectID_s7,ML_AssocDefectID_s7,ML_DefectStatus_s7
DMA-105,11.998,4,6,13.98,9016,1.135,342.4,12.2,1.3,8,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-106,12.034,16,7,15.88,9009,1.089,340,11.7,1.477,7.823,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-107,12.11,12,5,12.52,9013,0.987,34.3,10.61,1.164,8.136,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-108,12.142,42,65,16.95,8983,0.888,337.7,9.55,1.576,7.724,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-109,12.168,10,11,16.32,9013,1.144,37.3,12.3,1.518,7.782,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-110,12.212,4,9,13.35,9016,1.219,41.7,13.1,1.242,8.058,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-111,12.22,16,25,12.53,9009,0.985,11.7,10.59,1.165,8.135,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-112,12.22,2,2,10.09,9016,0.938,348.6,10.09,0.938,8.362,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-113,12.246,174,89,23.84,8499,1.207,31.9,12.98,2.217,7.083,1.4,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-114,12.252,2,2,10.84,9016,1.008,51,10.84,1.008,8.292,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-115,12.34,12,9,11.99,9013,1.012,333,10.88,1.115,8.185,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-116,12.456,24,25,19.76,8990,1.462,27,15.72,1.838,7.462,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
